排序	编码		名称		类型		2025-09-19	2025-10-17	净增长	增长率
1	019005	国投瑞银白银期货(LOF)C		商品		1.1335		1.3798		0.2463	21.73%
2	014662	天弘上海金ETF发起联接C		指数型-其他		1.8469		2.2293		0.3824	20.7%
3	008987	广发上海金ETF联接C		指数型-其他		1.7463		2.1049		0.3586	20.53%
4	009505	富国上海金ETF联接C		指数型-其他		1.7408		2.0946		0.3538	20.32%
5	022180	新沃中债0-3年政策性金融债指数C		指数型-固收		0.9571		1.1513		0.1942	20.29%
6	009034	建信上海金ETF联接C		指数型-其他		1.9164		2.3041		0.3877	20.23%
7	008702	华夏黄金ETF联接C		指数型-其他		1.7966		2.1595		0.3629	20.2%
8	000217	华安黄金易ETF联接C		指数型-其他		2.8080		3.3714		0.5634	20.06%
9	002963	易方达黄金ETF联接C		指数型-其他		2.6533		3.1855		0.5322	20.06%
10	004253	国泰黄金ETF联接C		指数型-其他		2.9368		3.5234		0.5866	19.97%
11	002611	博时黄金ETF联接C		指数型-其他		2.6263		3.1491		0.5228	19.91%
12	008143	工银黄金ETF联接C		指数型-其他		1.8623		2.2310		0.3687	19.8%
13	021740	前海开源黄金ETF联接C		指数型-其他		1.9182		2.2973		0.3791	19.76%
14	018392	南方上海金ETF联接C		指数型-其他		1.6913		2.0208		0.3295	19.48%
15	009478	中银上海金ETF联接C		指数型-其他		1.8518		2.2075		0.3557	19.21%
16	016582	嘉实上海金ETF发起联接C		指数型-其他		1.7254		2.0546		0.3292	19.08%
17	002207	前海开源金银珠宝混合C		混合型-灵活		2.1470		2.5490		0.402	18.72%
18	001467	华富永鑫灵活配置混合C		混合型-灵活		1.5188		1.7884		0.2696	17.75%
19	018156	创金合信全球医药生物股票发起(QDII)C		QDII-普通股票		1.2989		1.5182		0.2193	16.88%
20	022607	汇安行业龙头混合C		混合型-偏股		2.1149		2.4586		0.3437	16.25%
21	007978	易方达黄金主题美元现汇C		QDII-商品		0.2022		0.2340		0.0318	15.73%
22	025209	永赢先锋半导体智选混合发起C		混合型-偏股		1.0141		1.1730		0.1589	15.67%
23	007976	易方达黄金主题人民币C		QDII-商品		1.4379		1.6603		0.2224	15.47%
24	003625	创金合信资源股票发起式C		股票型		3.0215		3.4538		0.4323	14.31%
25	021959	南方中证沪深港黄金产业股票指数发起C		指数型-股票		1.5443		1.7636		0.2193	14.2%
26	022084	华安中证有色金属矿业主题指数发起式C		指数型-股票		1.4577		1.6646		0.2069	14.19%
27	021874	中欧中证沪深港黄金产业股票指数发起C		指数型-股票		1.4599		1.6668		0.2069	14.17%
28	020412	永赢中证沪深港黄金产业股票ETF发起联接C		指数型-股票		1.7421		1.9883		0.2462	14.13%
29	020969	中信保诚全球商品主题(QDII-FOF-LOF)C		QDII-商品		0.9097		1.0379		0.1282	14.09%
30	021363	易方达中证沪深港黄金产业股票指数发起式C		指数型-股票		1.5224		1.7367		0.2143	14.08%
31	013081	中信保诚中证800有色指数(LOF)C		指数型-股票		2.2071		2.5154		0.3083	13.97%
32	016708	华夏有色金属ETF联接C		指数型-股票		1.4003		1.5958		0.1955	13.96%
33	018133	博时中证有色金属矿业主题指数C		指数型-股票		1.3368		1.5226		0.1858	13.9%
34	021075	华夏中证沪深港黄金产业股票ETF发起式联接C		指数型-股票		1.3674		1.5564		0.189	13.82%
35	018543	汇添富黄金及贵金属(QDII-LOF-FOF)C		QDII-商品		1.5110		1.7180		0.207	13.7%
36	021674	国泰黄金股ETF联接C		指数型-股票		1.3158		1.4924		0.1766	13.42%
37	019165	汇添富中证细分有色金属产业主题ETF发起式联接C		指数型-股票		1.5681		1.7768		0.2087	13.31%
38	011631	东财有色增强C		指数型-股票		1.6902		1.9122		0.222	13.13%
39	014951	汇安润阳三年持有期混合C		混合型-偏股		0.9951		1.1254		0.1303	13.09%
40	007776	汇安量化先锋混合C		混合型-偏股		1.1582		1.3094		0.1512	13.05%
41	018168	国泰有色矿业ETF联接C		指数型-股票		1.4089		1.5915		0.1826	12.96%
42	021297	鹏华国证有色金属行业ETF发起式联接C		指数型-股票		1.3606		1.5358		0.1752	12.88%
43	015596	国泰国证有色金属行业指数(LOF)C		指数型-股票		1.8024		2.0296		0.2272	12.61%
44	017193	天弘中证工业有色金属主题指数发起C		指数型-股票		1.3536		1.5221		0.1685	12.45%
45	017141	华宝中证有色金属ETF发起式联接C		指数型-股票		1.2975		1.4575		0.16	12.33%
46	004433	南方中证申万有色金属ETF发起联接C		指数型-股票		1.4608		1.6400		0.1792	12.27%
47	018490	万家中证工业有色金属主题ETF发起式联接C		指数型-股票		1.2734		1.4283		0.1549	12.16%
48	023037	中欧资源精选混合发起C		混合型-偏股		1.3904		1.5586		0.1682	12.1%
49	012867	易方达标普生物科技美元汇C		指数型-海外股票		0.1909		0.2138		0.0229	12.0%
50	019889	中欧周期优选混合发起C		混合型-偏股		1.4935		1.6718		0.1783	11.94%
51	014497	诺安研究优选混合C		混合型-偏股		1.1117		1.2429		0.1312	11.8%
