排序	编码		名称		类型		2025-09-19	2025-10-20	净增长	增长率
1	022180	新沃中债0-3年政策性金融债指数C		指数型-固收		0.9571		1.1511		0.194	20.27%
2	007978	易方达黄金主题美元现汇C		QDII-商品		0.2022		0.2423		0.0401	19.83%
3	007976	易方达黄金主题人民币C		QDII-商品		1.4379		1.7194		0.2815	19.58%
4	018156	创金合信全球医药生物股票发起(QDII)C		QDII-普通股票		1.2989		1.5405		0.2416	18.6%
5	019005	国投瑞银白银期货(LOF)C		商品		1.1335		1.3368		0.2033	17.94%
6	008987	广发上海金ETF联接C		指数型-其他		1.7463		2.0553		0.309	17.69%
7	014662	天弘上海金ETF发起联接C		指数型-其他		1.8469		2.1734		0.3265	17.68%
8	008702	华夏黄金ETF联接C		指数型-其他		1.7966		2.1131		0.3165	17.62%
9	000217	华安黄金易ETF联接C		指数型-其他		2.8080		3.3001		0.4921	17.52%
10	004253	国泰黄金ETF联接C		指数型-其他		2.9368		3.4503		0.5135	17.49%
11	002963	易方达黄金ETF联接C		指数型-其他		2.6533		3.1168		0.4635	17.47%
12	008143	工银黄金ETF联接C		指数型-其他		1.8623		2.1866		0.3243	17.41%
13	018543	汇添富黄金及贵金属(QDII-LOF-FOF)C		QDII-商品		1.5110		1.7740		0.263	17.41%
14	021740	前海开源黄金ETF联接C		指数型-其他		1.9182		2.2518		0.3336	17.39%
15	009505	富国上海金ETF联接C		指数型-其他		1.7408		2.0425		0.3017	17.33%
16	009034	建信上海金ETF联接C		指数型-其他		1.9164		2.2483		0.3319	17.32%
17	002611	博时黄金ETF联接C		指数型-其他		2.6263		3.0810		0.4547	17.31%
18	018392	南方上海金ETF联接C		指数型-其他		1.6913		1.9718		0.2805	16.58%
19	009478	中银上海金ETF联接C		指数型-其他		1.8518		2.1574		0.3056	16.5%
20	020969	中信保诚全球商品主题(QDII-FOF-LOF)C		QDII-商品		0.9097		1.0595		0.1498	16.47%
21	016582	嘉实上海金ETF发起联接C		指数型-其他		1.7254		2.0082		0.2828	16.39%
22	022607	汇安行业龙头混合C		混合型-偏股		2.1149		2.4443		0.3294	15.58%
23	025209	永赢先锋半导体智选混合发起C		混合型-偏股		1.0141		1.1626		0.1485	14.64%
24	012867	易方达标普生物科技美元汇C		指数型-海外股票		0.1909		0.2184		0.0275	14.41%
25	012866	易方达标普生物科技人民币C		指数型-海外股票		1.3577		1.5499		0.1922	14.16%
26	003625	创金合信资源股票发起式C		股票型		3.0215		3.4133		0.3918	12.97%
27	013596	招商中证煤炭等权指数(LOF)C		指数型-股票		1.9594		2.2106		0.2512	12.82%
28	014951	汇安润阳三年持有期混合C		混合型-偏股		0.9951		1.1175		0.1224	12.3%
29	013081	中信保诚中证800有色指数(LOF)C		指数型-股票		2.2071		2.4770		0.2699	12.23%
30	016708	华夏有色金属ETF联接C		指数型-股票		1.4003		1.5716		0.1713	12.23%
31	014497	诺安研究优选混合C		混合型-偏股		1.1117		1.2474		0.1357	12.21%
32	022084	华安中证有色金属矿业主题指数发起式C		指数型-股票		1.4577		1.6355		0.1778	12.2%
33	015146	同泰新能源1年持有股票C		股票型		0.9793		1.0980		0.1187	12.12%
34	002207	前海开源金银珠宝混合C		混合型-灵活		2.1470		2.4060		0.259	12.06%
35	019889	中欧周期优选混合发起C		混合型-偏股		1.4935		1.6728		0.1793	12.01%
36	018133	博时中证有色金属矿业主题指数C		指数型-股票		1.3368		1.4950		0.1582	11.83%
37	017193	天弘中证工业有色金属主题指数发起C		指数型-股票		1.3536		1.5113		0.1577	11.65%
38	019165	汇添富中证细分有色金属产业主题ETF发起式联接C		指数型-股票		1.5681		1.7503		0.1822	11.62%
39	018023	华商上游产业股票C		股票型		3.0990		3.4561		0.3571	11.52%
40	011631	东财有色增强C		指数型-股票		1.6902		1.8844		0.1942	11.49%
41	018490	万家中证工业有色金属主题ETF发起式联接C		指数型-股票		1.2734		1.4183		0.1449	11.38%
42	021297	鹏华国证有色金属行业ETF发起式联接C		指数型-股票		1.3606		1.5154		0.1548	11.38%
43	015596	国泰国证有色金属行业指数(LOF)C		指数型-股票		1.8024		2.0036		0.2012	11.16%
44	018168	国泰有色矿业ETF联接C		指数型-股票		1.4089		1.5637		0.1548	10.99%
45	023037	中欧资源精选混合发起C		混合型-偏股		1.3904		1.5431		0.1527	10.98%
46	017141	华宝中证有色金属ETF发起式联接C		指数型-股票		1.2975		1.4368		0.1393	10.74%
47	004433	南方中证申万有色金属ETF发起联接C		指数型-股票		1.4608		1.6167		0.1559	10.67%
48	005661	嘉实资源精选股票C		股票型		3.7345		4.1315		0.397	10.63%
49	021461	国投瑞银中证资源指数(LOF)C		指数型-股票		1.7205		1.9030		0.1825	10.61%
50	011607	民生中证内地资源主题指数C		指数型-股票		1.3076		1.4438		0.1362	10.42%
51	010612	万家战略发展产业混合C		混合型-偏股		1.0217		1.1274		0.1057	10.35%
