代码,name,rose(3y),rank(3y),rank_r(3y),rose(2y),rank(2y),rank_r(2y),rose(1y),rank(1y),rank_r(1y),rose(6m),rank(6m),rank_r(6m),rose(3m),rank(3m),rank_r(3m),名称
796,宝盈睿丰创新混合C,0.2856,2178,0.118886463,0.4762,1696,0.092576419,0.7973,1996,0.108951965,0.236,4020,0.219432314,0.5013,950,0.051855895,宝盈睿丰创新混合C
850,汇丰晋信双核策略混合C,0.4343,1164,0.063537118,0.5567,1250,0.068231441,0.7944,2011,0.109770742,0.2294,4198,0.229148472,0.3253,2860,0.156113537,汇丰晋信双核策略混合C
1174,中欧瑾和灵活配置混合C,0.4509,1098,0.059934498,0.6074,1014,0.055349345,1.2674,388,0.021179039,0.459,943,0.051473799,0.4565,1220,0.066593886,中欧瑾和灵活配置混合C
1326,鹏华弘和混合C,0.3589,1609,0.087827511,0.3337,3114,0.169978166,0.8327,1803,0.098417031,0.3715,1657,0.090447598,0.2738,3804,0.207641921,鹏华弘和混合C
1407,景顺长城稳健回报混合C,1.8933,11,0.000600437,2.0164,7,0.000382096,2.0949,20,0.001091703,1.0281,41,0.002237991,0.997,33,0.00180131,景顺长城稳健回报混合C
1426,南方大数据300C,0.3688,1542,0.084170306,0.3859,2450,0.133733624,0.8264,1835,0.100163755,0.2264,4295,0.234443231,0.1987,6007,0.327893013,南方大数据300C
1467,华富永鑫灵活配置混合C,0.5427,756,0.041266376,0.5809,1136,0.062008734,0.6818,2753,0.150272926,0.4517,993,0.054203057,0.2836,3619,0.197543668,华富永鑫灵活配置混合C
1557,天弘中证500指数增强C,0.2481,2543,0.138810044,0.353,2837,0.154858079,0.6301,3220,0.175764192,0.2357,4031,0.220032751,0.2745,3782,0.206441048,天弘中证500指数增强C
1593,天弘创业板ETF联接C,0.3589,1609,0.087827511,0.5356,1368,0.074672489,0.9706,1164,0.063537118,0.4367,1099,0.059989083,0.5138,863,0.047106987,天弘创业板ETF联接C
1618,天弘中证电子ETF联接C,0.8952,219,0.011954148,0.8174,424,0.023144105,1.1071,643,0.035098253,0.4316,1138,0.062117904,0.5322,778,0.042467249,天弘中证电子ETF联接C
1665,平安鑫安混合C,0.5648,700,0.038209607,0.5784,1146,0.062554585,0.8605,1629,0.088919214,0.4525,985,0.053766376,0.5337,770,0.042030568,平安鑫安混合C
1770,前海开源嘉鑫混合C,1.0173,154,0.008406114,1.0392,170,0.009279476,1.0879,705,0.038482533,0.218,4537,0.247652838,0.5058,925,0.050491266,前海开源嘉鑫混合C
1997,工银新趋势灵活配置混合C,0.1976,3263,0.178111354,0.3599,2760,0.150655022,0.5356,4379,0.239028384,0.3555,1839,0.100382096,0.422,1584,0.086462882,工银新趋势灵活配置混合C
1998,工银新焦点混合C,0.5068,867,0.047325328,0.6166,982,0.05360262,0.8751,1559,0.085098253,0.3219,2356,0.12860262,0.3894,1929,0.10529476,工银新焦点混合C
2036,安信优势增长混合C,0.2847,2196,0.119868996,0.3794,2520,0.137554585,0.6596,2950,0.161026201,0.3136,2485,0.135644105,0.3127,3053,0.166648472,安信优势增长混合C
2051,诺安创新驱动混合C,0.5261,797,0.043504367,0.4407,1972,0.107641921,0.7453,2312,0.126200873,0.186,5598,0.305567686,0.2566,4130,0.225436681,诺安创新驱动混合C
2052,诺安稳健回报混合C,0.5039,879,0.047980349,1.0756,147,0.008024017,1.5849,107,0.005840611,0.4185,1251,0.068286026,0.4289,1510,0.082423581,诺安稳健回报混合C
2096,博时新收益C,0.3102,1974,0.107751092,0.6367,911,0.049727074,0.8698,1592,0.086899563,0.456,963,0.052565502,0.3986,1826,0.099672489,博时新收益C
2112,德邦鑫星价值灵活配置混合C,1.9958,7,0.000382096,2.315,2,0.00010917,2.7993,2,0.00010917,1.245,6,0.000327511,1.1255,10,0.000545852,德邦鑫星价值灵活配置混合C
2158,汇添富安鑫智选混合C,0.149,4122,0.225,0.3162,3356,0.183187773,0.7564,2227,0.121561135,0.3225,2345,0.128002183,0.377,2072,0.113100437,汇添富安鑫智选混合C
2163,东方惠新灵活配置混合C,0.6257,571,0.031168122,1.0608,155,0.008460699,1.4276,212,0.011572052,0.3763,1616,0.088209607,0.3811,2020,0.110262009,东方惠新灵活配置混合C
2170,东吴移动互联混合C,2.14,3,0.000163755,1.4397,42,0.002292576,1.3933,229,0.0125,0.8205,109,0.005949782,0.8008,143,0.007805677,东吴移动互联混合C
2207,前海开源金银珠宝混合C,0.8895,221,0.012063319,0.5969,1053,0.057478166,0.6327,3200,0.174672489,0.4077,1348,0.073580786,0.2822,3642,0.198799127,前海开源金银珠宝混合C
2233,工银丰收回报灵活配置混合C,0.3825,1444,0.078820961,0.3877,2435,0.132914847,0.5956,3561,0.194377729,0.2675,3311,0.180731441,0.2624,4001,0.218395197,工银丰收回报灵活配置混合C
2316,创金合信中证500指数增强C,0.2305,2777,0.151582969,0.2782,3992,0.21790393,0.5997,3512,0.191703057,0.1969,5241,0.286080786,0.2353,4728,0.258078603,创金合信中证500指数增强C
2451,平安睿享文娱混合C,0.3857,1421,0.077565502,0.5084,1504,0.08209607,1.0042,1015,0.05540393,0.4652,905,0.049399563,0.5476,715,0.039028384,平安睿享文娱混合C
2555,博时沪港深优质企业基金C,0.2074,3117,0.170141921,0.5417,1337,0.072980349,1.1292,595,0.032478166,0.4341,1115,0.060862445,0.5857,568,0.031004367,博时沪港深优质企业基金C
